date,actual,naive_last_5d_realized_vol,linear_regression,ridge,random_forest,selected_prediction,selected_residual
2025-01-10,0.0074330083672909,0.0104237675920804,0.00850868622805109,0.00851231658200491,0.008979447656039264,0.00851231658200491,-0.0010793082147140106
2025-01-13,0.0071709828988895,0.008157659386763,0.008602448249103901,0.008603392278475367,0.008833276523983299,0.008603392278475367,-0.001432409379585867
2025-01-14,0.0065787703482508,0.0073236724488114,0.007732093614560528,0.007732796693849102,0.00874398368215808,0.007732796693849102,-0.0011540263455983024
2025-01-15,0.0042231313052854,0.0106657214024537,0.006548159294689474,0.006554195704931473,0.006867397770739382,0.006554195704931473,-0.002331064399646073
2025-01-16,0.0044965929455436,0.0107579950476633,0.006263829182433777,0.0062695802491612405,0.007735257108225783,0.0062695802491612405,-0.0017729873036176408
2025-01-17,0.0085086826599078,0.0074330083672909,0.006478019169020078,0.006480400136897839,0.006102337663221716,0.006480400136897839,0.002028282523009961
2025-01-21,0.0085969132953158,0.0071709828988895,0.004731638604649392,0.004733184139230543,0.005829919960333778,0.004733184139230543,0.0038637291560852573
2025-01-22,0.0082986964536497,0.0065787703482508,0.00511294831923382,0.005110239799995021,0.005706136830641211,0.005110239799995021,0.00318845665365468
2025-01-23,0.0082924411393739,0.0042231313052855,0.0047062707361216205,0.004702408312014566,0.005654145789205488,0.004702408312014566,0.0035900328273593346
2025-01-24,0.0084083209310112,0.0044965929455436,0.005021254281481719,0.00501812338466843,0.005647437583860514,0.00501812338466843,0.0033901975463427707
2025-01-27,0.006579332677925,0.0085086826599078,0.00799669732365963,0.007998607443381664,0.008694815939629362,0.007998607443381664,-0.001419274765456664
2025-01-28,0.0060101353301802,0.0085969132953158,0.0069973853781354805,0.0069993685616548265,0.006344843566103558,0.0069993685616548265,-0.0009892332314746267
2025-01-29,0.0059304304477822,0.0082986964536497,0.006578001326020337,0.006579378524988718,0.007480129533663698,0.006579378524988718,-0.000648948077206518
2025-01-30,0.0057134546774689,0.0082924411393739,0.006406189417300865,0.006410736657587566,0.006496124995357791,0.006410736657587566,-0.000697281980118666
2025-01-31,0.0067405683661635,0.0084083209310112,0.006738971143448258,0.006742618826712132,0.006814152953657117,0.006742618826712132,-2.050460548631318e-06
2025-02-03,0.0061069551673131,0.006579332677925,0.008524623718695768,0.008524915614555829,0.008749148968344523,0.008524915614555829,-0.002417960447242729
2025-02-04,0.0056219115209173,0.0060101353301802,0.0066544478906455165,0.006653107221575446,0.007831853548100837,0.006653107221575446,-0.0010311957006581456
2025-02-05,0.0055679515077065,0.0059304304477822,0.005432590475352624,0.005432409384958176,0.006047262560724906,0.005432409384958176,0.0001355421227483243
2025-02-06,0.0070040854095938,0.0057134546774689,0.005601378745129925,0.005601913974759254,0.005734575513563593,0.005601913974759254,0.0014021714348345458
2025-02-07,0.0048618913356804,0.0067405683661635,0.006648437403670861,0.0066485681219098655,0.007205858334553789,0.0066485681219098655,-0.0017866767862294653
2025-02-10,0.0044839895758365,0.0061069551673131,0.006211041895355519,0.006213116959159369,0.005802063016645925,0.006213116959159369,-0.0017291273833228695
2025-02-11,0.0043988065578566,0.0056219115209173,0.005457058824023582,0.005456983435338621,0.0057045409578471455,0.005456983435338621,-0.0010581768774820212
2025-02-12,0.004808649235198,0.0055679515077065,0.005761360966209956,0.0057623048387638615,0.006010049449609982,0.0057623048387638615,-0.0009536556035658617
2025-02-13,0.0072961570287827,0.0070040854095938,0.005689169666979388,0.0056921282388317064,0.005691627989132969,0.0056921282388317064,0.001604028789950994
2025-02-14,0.0071196652953593,0.0048618913356804,0.004957181091772184,0.00495659766238532,0.005590747985232047,0.00495659766238532,0.00216306763297398
2025-02-18,0.0062899224592521,0.0044839895758365,0.005534547235442238,0.005534458419907569,0.005719362035112899,0.005534458419907569,0.0007554640393445311
